Year,Indicator_No,Indicator,Geographic_Cue,Reasoning_Evidence,Model,agreement_rate,kappa_w
2020,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,Qwen3.6-27B,0.813819577735125,0.807442483495974
2020,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,Qwen3.6-27B,0.900191938579655,0.87874209569193
2020,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,Qwen3.6-27B,0.696737044145873,0.600824701203316
2020,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,Qwen3.6-27B,0.560460652591171,0.4718283475187
2021,1,Building type and scale,Building and structure,Appearance,InternVL3-8B,0.6125,0.411648568608095
2021,2,Overall building appearance,Building and structure,Appearance,InternVL3-8B,0.5875,0.406353063704218
2021,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,InternVL3-8B,0.6,0.387333208043601
2021,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,InternVL3-8B,0.6,0.408883634521196
2021,5,Recognizable building outline,Building and structure,Landmark cue,InternVL3-8B,0.55,0.347638070919649
2021,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,InternVL3-8B,0.421383647798742,0.283606150793651
2021,7,Road type and width,Road and transport,Appearance,InternVL3-8B,0.59375,0.460936763735746
2021,8,Road markings and boundary features,Road and transport,Appearance,InternVL3-8B,0.51875,0.381508936286325
2021,9,Road direction and connectivity,Road and transport,Spatial layout,InternVL3-8B,0.59375,0.419522813607068
2021,10,Road position relative to surrounding elements,Road and transport,Spatial layout,InternVL3-8B,0.61875,0.427779516294872
2021,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,InternVL3-8B,0.4,0.231856347161028
2021,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,InternVL3-8B,0.377358490566038,0.31509253350351
2021,13,Vegetation coverage and type,Vegetation and terrain,Appearance,InternVL3-8B,0.575,0.478301015697138
2021,14,Ground surface characteristics,Vegetation and terrain,Appearance,InternVL3-8B,0.53125,0.357056207035989
2021,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,InternVL3-8B,0.575,0.379576107899807
2021,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,InternVL3-8B,0.4375,0.293478260869565
2021,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,InternVL3-8B,0.4875,0.313242669317309
2021,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,InternVL3-8B,0.49375,0.00302114803625375
2021,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,InternVL3-8B,0.525,0.353146853146853
2021,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,InternVL3-8B,0.39375,0.223946784922395
2021,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,InternVL3-8B,0.61875,0.450009105809506
2021,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,InternVL3-8B,0.53125,0.324653506929861
2021,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,InternVL3-8B,0.59375,0.139194139194139
2021,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,InternVL3-8B,0.51875,0.25477955520874
2021,25,Scene functional type,Global scene,Appearance,InternVL3-8B,0.63125,0.380196523053666
2021,26,Spatial density and openness,Global scene,Appearance,InternVL3-8B,0.65,0.499543378995434
2021,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,InternVL3-8B,0.7,0.516646115906289
2021,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,InternVL3-8B,0.78125,0.653019862180786
2021,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,InternVL3-8B,0.60625,0.374329090630271
2021,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,InternVL3-8B,0.475,0.313131313131313
2021,1,Building type and scale,Building and structure,Appearance,Qwen3.6-27B,0.73125,0.728574084402305
2021,2,Overall building appearance,Building and structure,Appearance,Qwen3.6-27B,0.7375,0.790229091912779
2021,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,Qwen3.6-27B,0.71875,0.72104251419375
2021,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,Qwen3.6-27B,0.78125,0.805411979325023
2021,5,Recognizable building outline,Building and structure,Landmark cue,Qwen3.6-27B,0.71875,0.71852586945735
2021,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,Qwen3.6-27B,0.654088050314465,0.705757944271136
2021,7,Road type and width,Road and transport,Appearance,Qwen3.6-27B,0.65625,0.702834799608993
2021,8,Road markings and boundary features,Road and transport,Appearance,Qwen3.6-27B,0.66875,0.700389695834809
2021,9,Road direction and connectivity,Road and transport,Spatial layout,Qwen3.6-27B,0.79375,0.838056680161943
2021,10,Road position relative to surrounding elements,Road and transport,Spatial layout,Qwen3.6-27B,0.76875,0.764229787982757
2021,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,Qwen3.6-27B,0.625,0.60267093427515
2021,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,Qwen3.6-27B,0.522012578616352,0.456822030122092
2021,13,Vegetation coverage and type,Vegetation and terrain,Appearance,Qwen3.6-27B,0.71875,0.694638829448846
2021,14,Ground surface characteristics,Vegetation and terrain,Appearance,Qwen3.6-27B,0.69375,0.68595041322314
2021,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.725,0.740757644911
2021,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.50625,0.478694469628286
2021,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.64375,0.67869892899643
2021,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.60625,0.31113662456946
2021,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,Qwen3.6-27B,0.63125,0.620811287477954
2021,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,Qwen3.6-27B,0.55625,0.46907717832828
2021,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,Qwen3.6-27B,0.76875,0.782162306936881
2021,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,Qwen3.6-27B,0.79375,0.828571428571429
2021,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,Qwen3.6-27B,0.50625,0.166211541962498
2021,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,Qwen3.6-27B,0.58125,0.413138958975797
2021,25,Scene functional type,Global scene,Appearance,Qwen3.6-27B,0.79375,0.708029197080292
2021,26,Spatial density and openness,Global scene,Appearance,Qwen3.6-27B,0.7375,0.675415748347025
2021,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,Qwen3.6-27B,0.8,0.768352921137796
2021,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,Qwen3.6-27B,0.86875,0.824639740207022
2021,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,Qwen3.6-27B,0.74375,0.659248956884562
2021,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,Qwen3.6-27B,0.53125,0.363265306122449
2022,1,Building type and scale,Building and structure,Appearance,InternVL3-8B,0.585365853658537,0.371539693433997
2022,2,Overall building appearance,Building and structure,Appearance,InternVL3-8B,0.5,0.256624825662483
2022,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,InternVL3-8B,0.597560975609756,0.34217961654894
2022,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,InternVL3-8B,0.475609756097561,0.244929417491481
2022,5,Recognizable building outline,Building and structure,Landmark cue,InternVL3-8B,0.447852760736196,0.184399363872619
2022,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,InternVL3-8B,0.317073170731707,0.116634944803959
2022,7,Road type and width,Road and transport,Appearance,InternVL3-8B,0.585365853658537,0.318774251318277
2022,8,Road markings and boundary features,Road and transport,Appearance,InternVL3-8B,0.457317073170732,0.287809444560017
2022,9,Road direction and connectivity,Road and transport,Spatial layout,InternVL3-8B,0.560975609756098,0.357875787578758
2022,10,Road position relative to surrounding elements,Road and transport,Spatial layout,InternVL3-8B,0.609756097560976,0.30745872081989
2022,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,InternVL3-8B,0.347560975609756,0.163232465952353
2022,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,InternVL3-8B,0.353658536585366,0.185997910135841
2022,13,Vegetation coverage and type,Vegetation and terrain,Appearance,InternVL3-8B,0.664634146341463,0.424659400544959
2022,14,Ground surface characteristics,Vegetation and terrain,Appearance,InternVL3-8B,0.463414634146341,0.311432624113475
2022,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,InternVL3-8B,0.609756097560976,0.406415998333507
2022,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,InternVL3-8B,0.402439024390244,0.134283336800499
2022,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,InternVL3-8B,0.567073170731707,0.31709083385061
2022,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,InternVL3-8B,0.536585365853659,0.111138176724925
2022,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,InternVL3-8B,0.567073170731707,0.3595941169764
2022,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,InternVL3-8B,0.408536585365854,0.254431220309547
2022,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,InternVL3-8B,0.603658536585366,0.401574803149606
2022,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,InternVL3-8B,0.457317073170732,0.253961344245168
2022,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,InternVL3-8B,0.628048780487805,0.0947368421052631
2022,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,InternVL3-8B,0.426829268292683,0.0444423476127571
2022,25,Scene functional type,Global scene,Appearance,InternVL3-8B,0.670731707317073,0.345810336176618
2022,26,Spatial density and openness,Global scene,Appearance,InternVL3-8B,0.524390243902439,0.200756473668897
2022,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,InternVL3-8B,0.621951219512195,0.374970069438902
2022,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,InternVL3-8B,0.701219512195122,0.515574650912997
2022,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,InternVL3-8B,0.554878048780488,0.308094384707288
2022,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,InternVL3-8B,0.48780487804878,0.367902274641954
2022,1,Building type and scale,Building and structure,Appearance,Qwen3.6-27B,0.682926829268293,0.725766197464311
2022,2,Overall building appearance,Building and structure,Appearance,Qwen3.6-27B,0.682926829268293,0.743612649633732
2022,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,Qwen3.6-27B,0.719512195121951,0.777517893062637
2022,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,Qwen3.6-27B,0.75,0.78421968507279
2022,5,Recognizable building outline,Building and structure,Landmark cue,Qwen3.6-27B,0.705521472392638,0.677908049005401
2022,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,Qwen3.6-27B,0.585365853658537,0.579346054271742
2022,7,Road type and width,Road and transport,Appearance,Qwen3.6-27B,0.707317073170732,0.731000546746856
2022,8,Road markings and boundary features,Road and transport,Appearance,Qwen3.6-27B,0.634146341463415,0.699720995117415
2022,9,Road direction and connectivity,Road and transport,Spatial layout,Qwen3.6-27B,0.768292682926829,0.782893555914558
2022,10,Road position relative to surrounding elements,Road and transport,Spatial layout,Qwen3.6-27B,0.817073170731707,0.846660730186999
2022,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,Qwen3.6-27B,0.634146341463415,0.667861037544789
2022,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,Qwen3.6-27B,0.530487804878049,0.546910239061795
2022,13,Vegetation coverage and type,Vegetation and terrain,Appearance,Qwen3.6-27B,0.719512195121951,0.641382277028965
2022,14,Ground surface characteristics,Vegetation and terrain,Appearance,Qwen3.6-27B,0.646341463414634,0.6673042369443
2022,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.701219512195122,0.701148277583625
2022,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.560975609756098,0.579203815052872
2022,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.689024390243902,0.701456310679612
2022,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.597560975609756,0.431840848249436
2022,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,Qwen3.6-27B,0.646341463414634,0.604667725853284
2022,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,Qwen3.6-27B,0.573170731707317,0.570425577878591
2022,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,Qwen3.6-27B,0.725609756097561,0.725956182695878
2022,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,Qwen3.6-27B,0.652439024390244,0.672692237107726
2022,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,Qwen3.6-27B,0.524390243902439,0.124596697665591
2022,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,Qwen3.6-27B,0.597560975609756,0.434559221200649
2022,25,Scene functional type,Global scene,Appearance,Qwen3.6-27B,0.75,0.684089962515618
2022,26,Spatial density and openness,Global scene,Appearance,Qwen3.6-27B,0.664634146341463,0.588245363766049
2022,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,Qwen3.6-27B,0.804878048780488,0.810697795975259
2022,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,Qwen3.6-27B,0.878048780487805,0.858576356224522
2022,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,Qwen3.6-27B,0.707317073170732,0.573076923076923
2022,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,Qwen3.6-27B,0.585365853658537,0.579984239558708
2023,1,Building type and scale,Building and structure,Appearance,InternVL3-8B,0.540983606557377,0.201890936873269
2023,2,Overall building appearance,Building and structure,Appearance,InternVL3-8B,0.491803278688525,0.295745690336865
2023,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,InternVL3-8B,0.55327868852459,0.281427343078246
2023,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,InternVL3-8B,0.512295081967213,0.318240768996033
2023,5,Recognizable building outline,Building and structure,Landmark cue,InternVL3-8B,0.471311475409836,0.266006770680012
2023,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,InternVL3-8B,0.352459016393443,0.152823501897926
2023,7,Road type and width,Road and transport,Appearance,InternVL3-8B,0.532786885245902,0.26170420287285
2023,8,Road markings and boundary features,Road and transport,Appearance,InternVL3-8B,0.459016393442623,0.197977243994943
2023,9,Road direction and connectivity,Road and transport,Spatial layout,InternVL3-8B,0.536885245901639,0.315492048114959
2023,10,Road position relative to surrounding elements,Road and transport,Spatial layout,InternVL3-8B,0.569672131147541,0.245889177835567
2023,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,InternVL3-8B,0.385245901639344,0.217112299465241
2023,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,InternVL3-8B,0.385245901639344,0.174520451957607
2023,13,Vegetation coverage and type,Vegetation and terrain,Appearance,InternVL3-8B,0.520491803278688,0.220743669682914
2023,14,Ground surface characteristics,Vegetation and terrain,Appearance,InternVL3-8B,0.479508196721311,0.250628468434284
2023,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,InternVL3-8B,0.512295081967213,0.225353982300885
2023,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,InternVL3-8B,0.405737704918033,0.222451892317535
2023,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,InternVL3-8B,0.409836065573771,0.102106420776584
2023,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,InternVL3-8B,0.471311475409836,0.0776034236804565
2023,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,InternVL3-8B,0.450819672131148,0.296550060313631
2023,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,InternVL3-8B,0.39344262295082,0.189652158713512
2023,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,InternVL3-8B,0.512295081967213,0.300412541254125
2023,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,InternVL3-8B,0.487704918032787,0.29494913996759
2023,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,InternVL3-8B,0.577868852459016,0.134957647282764
2023,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,InternVL3-8B,0.504098360655738,0.225904169310437
2023,25,Scene functional type,Global scene,Appearance,InternVL3-8B,0.581967213114754,0.288799000654334
2023,26,Spatial density and openness,Global scene,Appearance,InternVL3-8B,0.520491803278688,0.243187356916033
2023,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,InternVL3-8B,0.618852459016393,0.346858865518556
2023,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,InternVL3-8B,0.668032786885246,0.419517917031506
2023,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,InternVL3-8B,0.557377049180328,0.312774489211381
2023,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,InternVL3-8B,0.426229508196721,0.203234975636167
2023,1,Building type and scale,Building and structure,Appearance,Qwen3.6-27B,0.729508196721312,0.745369162535873
2023,2,Overall building appearance,Building and structure,Appearance,Qwen3.6-27B,0.725409836065574,0.749031356101458
2023,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,Qwen3.6-27B,0.737704918032787,0.756281407035176
2023,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,Qwen3.6-27B,0.709016393442623,0.723204506337036
2023,5,Recognizable building outline,Building and structure,Landmark cue,Qwen3.6-27B,0.655737704918033,0.671416564792176
2023,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,Qwen3.6-27B,0.602459016393443,0.547163296575239
2023,7,Road type and width,Road and transport,Appearance,Qwen3.6-27B,0.758196721311475,0.752145726807889
2023,8,Road markings and boundary features,Road and transport,Appearance,Qwen3.6-27B,0.668032786885246,0.681243124312431
2023,9,Road direction and connectivity,Road and transport,Spatial layout,Qwen3.6-27B,0.754098360655738,0.782482170669727
2023,10,Road position relative to surrounding elements,Road and transport,Spatial layout,Qwen3.6-27B,0.819672131147541,0.797697780691437
2023,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,Qwen3.6-27B,0.639344262295082,0.689903633630979
2023,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,Qwen3.6-27B,0.565573770491803,0.557398289712361
2023,13,Vegetation coverage and type,Vegetation and terrain,Appearance,Qwen3.6-27B,0.668032786885246,0.657187459346949
2023,14,Ground surface characteristics,Vegetation and terrain,Appearance,Qwen3.6-27B,0.655737704918033,0.668883563988459
2023,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.741803278688525,0.745940260832983
2023,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.528688524590164,0.519444026293341
2023,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.64344262295082,0.668478260869565
2023,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.520491803278688,0.200081113965121
2023,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,Qwen3.6-27B,0.614754098360656,0.588362013029147
2023,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,Qwen3.6-27B,0.594262295081967,0.608491014547875
2023,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,Qwen3.6-27B,0.709016393442623,0.718285107078633
2023,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,Qwen3.6-27B,0.676229508196721,0.700204118031747
2023,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,Qwen3.6-27B,0.532786885245902,0.203311904955651
2023,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,Qwen3.6-27B,0.581967213114754,0.443001501562437
2023,25,Scene functional type,Global scene,Appearance,Qwen3.6-27B,0.774590163934426,0.771300550945294
2023,26,Spatial density and openness,Global scene,Appearance,Qwen3.6-27B,0.754098360655738,0.677338530066815
2023,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,Qwen3.6-27B,0.840163934426229,0.819854611540209
2023,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,Qwen3.6-27B,0.897540983606557,0.862120115135355
2023,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,Qwen3.6-27B,0.774590163934426,0.691416449086162
2023,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,Qwen3.6-27B,0.569672131147541,0.395681625740897
2024,1,Building type and scale,Building and structure,Appearance,InternVL3-8B,0.590778097982709,0.339106169996014
2024,2,Overall building appearance,Building and structure,Appearance,InternVL3-8B,0.530259365994236,0.281060718711276
2024,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,InternVL3-8B,0.599423631123919,0.334510951852226
2024,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,InternVL3-8B,0.521613832853026,0.329276187415349
2024,5,Recognizable building outline,Building and structure,Landmark cue,InternVL3-8B,0.481268011527378,0.266365268266738
2024,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,InternVL3-8B,0.365994236311239,0.179153844543532
2024,7,Road type and width,Road and transport,Appearance,InternVL3-8B,0.553314121037464,0.314771711975233
2024,8,Road markings and boundary features,Road and transport,Appearance,InternVL3-8B,0.406340057636888,0.251532929498492
2024,9,Road direction and connectivity,Road and transport,Spatial layout,InternVL3-8B,0.543352601156069,0.320562196293232
2024,10,Road position relative to surrounding elements,Road and transport,Spatial layout,InternVL3-8B,0.622478386167147,0.356227785806351
2024,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,InternVL3-8B,0.363112391930836,0.181958142891508
2024,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,InternVL3-8B,0.337175792507205,0.194476384700497
2024,13,Vegetation coverage and type,Vegetation and terrain,Appearance,InternVL3-8B,0.593659942363112,0.297673872869672
2024,14,Ground surface characteristics,Vegetation and terrain,Appearance,InternVL3-8B,0.478386167146974,0.355658331795534
2024,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,InternVL3-8B,0.599423631123919,0.342392673655614
2024,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,InternVL3-8B,0.409221902017291,0.253721427767143
2024,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,InternVL3-8B,0.512968299711816,0.270370412466045
2024,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,InternVL3-8B,0.475504322766571,0.161035950333394
2024,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,InternVL3-8B,0.54178674351585,0.286083561932897
2024,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,InternVL3-8B,0.403458213256484,0.225260059650046
2024,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,InternVL3-8B,0.579250720461095,0.372117790599086
2024,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,InternVL3-8B,0.507204610951009,0.329431251846506
2024,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,InternVL3-8B,0.599423631123919,0.104531372348756
2024,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,InternVL3-8B,0.438040345821326,0.148332946155322
2024,25,Scene functional type,Global scene,Appearance,InternVL3-8B,0.662824207492795,0.394505018031071
2024,26,Spatial density and openness,Global scene,Appearance,InternVL3-8B,0.610951008645533,0.351957046144269
2024,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,InternVL3-8B,0.674351585014409,0.472042601749715
2024,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,InternVL3-8B,0.729106628242075,0.543219417739579
2024,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,InternVL3-8B,0.585014409221902,0.3177271820591
2024,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,InternVL3-8B,0.544668587896254,0.42959258276172
2024,1,Building type and scale,Building and structure,Appearance,Qwen3.6-27B,0.720461095100865,0.744449498559577
2024,2,Overall building appearance,Building and structure,Appearance,Qwen3.6-27B,0.740634005763689,0.788899165607395
2024,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,Qwen3.6-27B,0.752161383285303,0.773316843779765
2024,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,Qwen3.6-27B,0.737752161383285,0.769780773141011
2024,5,Recognizable building outline,Building and structure,Landmark cue,Qwen3.6-27B,0.706051873198847,0.7241444579043
2024,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,Qwen3.6-27B,0.645533141210375,0.646903195169934
2024,7,Road type and width,Road and transport,Appearance,Qwen3.6-27B,0.717579250720461,0.752546074476857
2024,8,Road markings and boundary features,Road and transport,Appearance,Qwen3.6-27B,0.677233429394813,0.700622159574209
2024,9,Road direction and connectivity,Road and transport,Spatial layout,Qwen3.6-27B,0.763005780346821,0.798914488913405
2024,10,Road position relative to surrounding elements,Road and transport,Spatial layout,Qwen3.6-27B,0.824207492795389,0.814010393605369
2024,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,Qwen3.6-27B,0.654178674351585,0.674157303370786
2024,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,Qwen3.6-27B,0.515850144092219,0.477684955219387
2024,13,Vegetation coverage and type,Vegetation and terrain,Appearance,Qwen3.6-27B,0.708933717579251,0.659030292821247
2024,14,Ground surface characteristics,Vegetation and terrain,Appearance,Qwen3.6-27B,0.605187319884726,0.641357130071771
2024,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.763688760806916,0.786191865646181
2024,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.54178674351585,0.542701058797026
2024,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.665706051873199,0.705980699350011
2024,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.536023054755043,0.367117815563323
2024,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,Qwen3.6-27B,0.657060518731988,0.56522281043565
2024,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,Qwen3.6-27B,0.550432276657061,0.497040705399203
2024,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,Qwen3.6-27B,0.714697406340058,0.732942604268419
2024,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,Qwen3.6-27B,0.674351585014409,0.693632049442666
2024,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,Qwen3.6-27B,0.504322766570605,0.124689741632502
2024,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,Qwen3.6-27B,0.538904899135447,0.372027344606271
2024,25,Scene functional type,Global scene,Appearance,Qwen3.6-27B,0.755043227665706,0.707407988927851
