Sheet,Lifeline,Indicator_No,Indicator,Geographic_Cue,Reasoning_Evidence,Model,agreement_rate,kappa_w,Lifeline_In_Main8
Hazmat,Hazardous Materials,25,Scene functional type,Global scene,Appearance,InternVL3-8B,1.0,1.0,True
Hazmat,Hazardous Materials,26,Spatial density and openness,Global scene,Appearance,InternVL3-8B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,InternVL3-8B,1.0,1.0,True
Hazmat,Hazardous Materials,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,InternVL3-8B,1.0,1.0,True
Hazmat,Hazardous Materials,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,InternVL3-8B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,InternVL3-8B,1.0,1.0,True
Hazmat,Hazardous Materials,1,Building type and scale,Building and structure,Appearance,Qwen3.6-27B,1.0,,True
Hazmat,Hazardous Materials,2,Overall building appearance,Building and structure,Appearance,Qwen3.6-27B,0.5,0.0,True
Hazmat,Hazardous Materials,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,Qwen3.6-27B,0.5,0.0,True
Hazmat,Hazardous Materials,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,Qwen3.6-27B,0.5,0.0,True
Hazmat,Hazardous Materials,5,Recognizable building outline,Building and structure,Landmark cue,Qwen3.6-27B,0.5,0.0,True
Hazmat,Hazardous Materials,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,Qwen3.6-27B,0.0,0.0,True
Hazmat,Hazardous Materials,7,Road type and width,Road and transport,Appearance,Qwen3.6-27B,1.0,1.0,True
Hazmat,Hazardous Materials,8,Road markings and boundary features,Road and transport,Appearance,Qwen3.6-27B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,9,Road direction and connectivity,Road and transport,Spatial layout,Qwen3.6-27B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,10,Road position relative to surrounding elements,Road and transport,Spatial layout,Qwen3.6-27B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,Qwen3.6-27B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,Qwen3.6-27B,0.5,0.0,True
Hazmat,Hazardous Materials,13,Vegetation coverage and type,Vegetation and terrain,Appearance,Qwen3.6-27B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,14,Ground surface characteristics,Vegetation and terrain,Appearance,Qwen3.6-27B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.5,0.0,True
Hazmat,Hazardous Materials,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.5,0.0,True
Hazmat,Hazardous Materials,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,Qwen3.6-27B,0.5,0.0,True
Hazmat,Hazardous Materials,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,Qwen3.6-27B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,Qwen3.6-27B,0.5,0.0,True
Hazmat,Hazardous Materials,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,Qwen3.6-27B,0.0,0.0,True
Hazmat,Hazardous Materials,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,Qwen3.6-27B,0.0,-0.666666666666667,True
Hazmat,Hazardous Materials,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,Qwen3.6-27B,0.0,-1.0,True
Hazmat,Hazardous Materials,25,Scene functional type,Global scene,Appearance,Qwen3.6-27B,1.0,1.0,True
Hazmat,Hazardous Materials,26,Spatial density and openness,Global scene,Appearance,Qwen3.6-27B,1.0,1.0,True
Hazmat,Hazardous Materials,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,Qwen3.6-27B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,Qwen3.6-27B,1.0,1.0,True
Hazmat,Hazardous Materials,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,Qwen3.6-27B,0.5,0.0,True
Hazmat,Hazardous Materials,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,Qwen3.6-27B,1.0,1.0,True
Health_Medical,Health and Medical,1,Building type and scale,Building and structure,Appearance,InternVL3-8B,0.533333333333333,0.421364985163205,True
Health_Medical,Health and Medical,2,Overall building appearance,Building and structure,Appearance,InternVL3-8B,0.6,0.482758620689655,True
Health_Medical,Health and Medical,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,InternVL3-8B,0.666666666666667,0.580152671755725,True
Health_Medical,Health and Medical,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,InternVL3-8B,0.533333333333333,0.387755102040816,True
Health_Medical,Health and Medical,5,Recognizable building outline,Building and structure,Landmark cue,InternVL3-8B,0.666666666666667,0.492753623188406,True
Health_Medical,Health and Medical,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,InternVL3-8B,0.466666666666667,0.289693593314763,True
Health_Medical,Health and Medical,7,Road type and width,Road and transport,Appearance,InternVL3-8B,0.466666666666667,0.33420365535248,True
Health_Medical,Health and Medical,8,Road markings and boundary features,Road and transport,Appearance,InternVL3-8B,0.466666666666667,0.360902255639098,True
Health_Medical,Health and Medical,9,Road direction and connectivity,Road and transport,Spatial layout,InternVL3-8B,0.533333333333333,0.428571428571429,True
Health_Medical,Health and Medical,10,Road position relative to surrounding elements,Road and transport,Spatial layout,InternVL3-8B,0.533333333333333,0.408866995073892,True
Health_Medical,Health and Medical,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,InternVL3-8B,0.533333333333333,0.219178082191781,True
Health_Medical,Health and Medical,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,InternVL3-8B,0.4,-0.0396039603960396,True
Health_Medical,Health and Medical,13,Vegetation coverage and type,Vegetation and terrain,Appearance,InternVL3-8B,0.733333333333333,0.715447154471545,True
Health_Medical,Health and Medical,14,Ground surface characteristics,Vegetation and terrain,Appearance,InternVL3-8B,0.533333333333333,0.462809917355372,True
Health_Medical,Health and Medical,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,InternVL3-8B,0.733333333333333,0.530120481927711,True
Health_Medical,Health and Medical,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,InternVL3-8B,0.466666666666667,0.273504273504273,True
Health_Medical,Health and Medical,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,InternVL3-8B,0.333333333333333,0.296296296296296,True
Health_Medical,Health and Medical,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,InternVL3-8B,0.4,-0.0344827586206897,True
Health_Medical,Health and Medical,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,InternVL3-8B,0.666666666666667,0.573643410852713,True
Health_Medical,Health and Medical,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,InternVL3-8B,0.4,0.311926605504587,True
Health_Medical,Health and Medical,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,InternVL3-8B,0.6,0.460431654676259,True
Health_Medical,Health and Medical,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,InternVL3-8B,0.466666666666667,0.256559766763848,True
Health_Medical,Health and Medical,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,InternVL3-8B,0.466666666666667,0.180522565320665,True
Health_Medical,Health and Medical,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,InternVL3-8B,0.533333333333333,0.128440366972477,True
Health_Medical,Health and Medical,25,Scene functional type,Global scene,Appearance,InternVL3-8B,0.733333333333333,0.609375,True
Health_Medical,Health and Medical,26,Spatial density and openness,Global scene,Appearance,InternVL3-8B,0.6,0.615384615384615,True
Health_Medical,Health and Medical,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,InternVL3-8B,0.8,0.689655172413793,True
Health_Medical,Health and Medical,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,InternVL3-8B,0.8,0.786729857819905,True
Health_Medical,Health and Medical,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,InternVL3-8B,0.866666666666667,0.923076923076923,True
Health_Medical,Health and Medical,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,InternVL3-8B,0.6,0.558823529411765,True
Health_Medical,Health and Medical,1,Building type and scale,Building and structure,Appearance,Qwen3.6-27B,0.666666666666667,0.785100286532951,True
Health_Medical,Health and Medical,2,Overall building appearance,Building and structure,Appearance,Qwen3.6-27B,0.666666666666667,0.742268041237113,True
Health_Medical,Health and Medical,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,Qwen3.6-27B,0.8,0.888888888888889,True
Health_Medical,Health and Medical,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,Qwen3.6-27B,0.733333333333333,0.825581395348837,True
Health_Medical,Health and Medical,5,Recognizable building outline,Building and structure,Landmark cue,Qwen3.6-27B,0.866666666666667,0.912280701754386,True
Health_Medical,Health and Medical,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,Qwen3.6-27B,0.733333333333333,0.741379310344828,True
Health_Medical,Health and Medical,7,Road type and width,Road and transport,Appearance,Qwen3.6-27B,0.6,0.748603351955307,True
Health_Medical,Health and Medical,8,Road markings and boundary features,Road and transport,Appearance,Qwen3.6-27B,0.533333333333333,0.542682926829268,True
Health_Medical,Health and Medical,9,Road direction and connectivity,Road and transport,Spatial layout,Qwen3.6-27B,0.733333333333333,0.833333333333333,True
Health_Medical,Health and Medical,10,Road position relative to surrounding elements,Road and transport,Spatial layout,Qwen3.6-27B,0.733333333333333,0.842931937172775,True
Health_Medical,Health and Medical,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,Qwen3.6-27B,0.8,0.571428571428571,True
Health_Medical,Health and Medical,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,Qwen3.6-27B,0.666666666666667,0.0677966101694916,True
Health_Medical,Health and Medical,13,Vegetation coverage and type,Vegetation and terrain,Appearance,Qwen3.6-27B,0.933333333333333,0.958677685950413,True
Health_Medical,Health and Medical,14,Ground surface characteristics,Vegetation and terrain,Appearance,Qwen3.6-27B,0.733333333333333,0.832402234636872,True
Health_Medical,Health and Medical,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.8,0.785714285714286,True
Health_Medical,Health and Medical,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.533333333333333,0.511278195488722,True
Health_Medical,Health and Medical,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.466666666666667,0.636363636363636,True
Health_Medical,Health and Medical,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.466666666666667,0.19953596287703,True
Health_Medical,Health and Medical,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,Qwen3.6-27B,0.733333333333333,0.824561403508772,True
Health_Medical,Health and Medical,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,Qwen3.6-27B,0.533333333333333,0.623655913978495,True
Health_Medical,Health and Medical,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,Qwen3.6-27B,0.733333333333333,0.740740740740741,True
Health_Medical,Health and Medical,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,Qwen3.6-27B,0.666666666666667,0.71042471042471,True
Health_Medical,Health and Medical,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,Qwen3.6-27B,0.4,0.0740740740740741,True
Health_Medical,Health and Medical,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,Qwen3.6-27B,0.666666666666667,0.285714285714286,True
Health_Medical,Health and Medical,25,Scene functional type,Global scene,Appearance,Qwen3.6-27B,0.933333333333333,0.96,True
Health_Medical,Health and Medical,26,Spatial density and openness,Global scene,Appearance,Qwen3.6-27B,0.666666666666667,0.8,True
Health_Medical,Health and Medical,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,Qwen3.6-27B,0.866666666666667,0.827586206896552,True
Health_Medical,Health and Medical,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,Qwen3.6-27B,0.866666666666667,0.92822966507177,True
Health_Medical,Health and Medical,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,Qwen3.6-27B,0.866666666666667,0.923076923076923,True
Health_Medical,Health and Medical,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,Qwen3.6-27B,0.6,0.558823529411765,True
Other,Other,1,Building type and scale,Building and structure,Appearance,InternVL3-8B,0.516666666666667,0.373134328358209,False
Other,Other,2,Overall building appearance,Building and structure,Appearance,InternVL3-8B,0.527777777777778,0.309079792112504,False
Other,Other,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,InternVL3-8B,0.516666666666667,0.261726873603944,False
Other,Other,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,InternVL3-8B,0.488888888888889,0.279628993473033,False
Other,Other,5,Recognizable building outline,Building and structure,Landmark cue,InternVL3-8B,0.527777777777778,0.285209003215434,False
Other,Other,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,InternVL3-8B,0.411111111111111,0.176847004072135,False
Other,Other,7,Road type and width,Road and transport,Appearance,InternVL3-8B,0.472222222222222,0.270642201834862,False
Other,Other,8,Road markings and boundary features,Road and transport,Appearance,InternVL3-8B,0.35,0.171199875660553,False
Other,Other,9,Road direction and connectivity,Road and transport,Spatial layout,InternVL3-8B,0.477777777777778,0.308084744561752,False
Other,Other,10,Road position relative to surrounding elements,Road and transport,Spatial layout,InternVL3-8B,0.522222222222222,0.261121157323689,False
Other,Other,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,InternVL3-8B,0.361111111111111,0.126536369131574,False
Other,Other,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,InternVL3-8B,0.294444444444444,0.0625000000000001,False
Other,Other,13,Vegetation coverage and type,Vegetation and terrain,Appearance,InternVL3-8B,0.45,0.100984635874994,False
Other,Other,14,Ground surface characteristics,Vegetation and terrain,Appearance,InternVL3-8B,0.5,0.230867346938775,False
Other,Other,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,InternVL3-8B,0.477777777777778,0.206697459584296,False
Other,Other,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,InternVL3-8B,0.422222222222222,0.0954583683767872,False
Other,Other,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,InternVL3-8B,0.4,0.106308411214953,False
Other,Other,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,InternVL3-8B,0.455555555555556,0.0107438016528927,False
Other,Other,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,InternVL3-8B,0.444444444444444,0.253563390847712,False
Other,Other,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,InternVL3-8B,0.405555555555556,0.207266721717589,False
Other,Other,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,InternVL3-8B,0.522222222222222,0.288575720723943,False
Other,Other,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,InternVL3-8B,0.483333333333333,0.236092173438778,False
Other,Other,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,InternVL3-8B,0.483333333333333,0.0528294007099602,False
Other,Other,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,InternVL3-8B,0.422222222222222,0.0633333333333334,False
Other,Other,25,Scene functional type,Global scene,Appearance,InternVL3-8B,0.555555555555556,0.292914319596798,False
Other,Other,26,Spatial density and openness,Global scene,Appearance,InternVL3-8B,0.527777777777778,0.223378982671884,False
Other,Other,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,InternVL3-8B,0.627777777777778,0.427792915531335,False
Other,Other,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,InternVL3-8B,0.722222222222222,0.545933518536258,False
Other,Other,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,InternVL3-8B,0.55,0.294933365349982,False
Other,Other,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,InternVL3-8B,0.472222222222222,0.22552783109405,False
Other,Other,1,Building type and scale,Building and structure,Appearance,Qwen3.6-27B,0.655555555555556,0.721448467966574,False
Other,Other,2,Overall building appearance,Building and structure,Appearance,Qwen3.6-27B,0.766666666666667,0.805636540330418,False
Other,Other,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,Qwen3.6-27B,0.716666666666667,0.742054014330333,False
Other,Other,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,Qwen3.6-27B,0.727777777777778,0.783405172413793,False
Other,Other,5,Recognizable building outline,Building and structure,Landmark cue,Qwen3.6-27B,0.755555555555556,0.726247436773753,False
Other,Other,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,Qwen3.6-27B,0.688888888888889,0.660956459671663,False
Other,Other,7,Road type and width,Road and transport,Appearance,Qwen3.6-27B,0.705555555555556,0.752066115702479,False
Other,Other,8,Road markings and boundary features,Road and transport,Appearance,Qwen3.6-27B,0.666666666666667,0.686886708296164,False
Other,Other,9,Road direction and connectivity,Road and transport,Spatial layout,Qwen3.6-27B,0.772222222222222,0.834778532927115,False
Other,Other,10,Road position relative to surrounding elements,Road and transport,Spatial layout,Qwen3.6-27B,0.761111111111111,0.823453884014552,False
Other,Other,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,Qwen3.6-27B,0.622222222222222,0.566606473121267,False
Other,Other,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,Qwen3.6-27B,0.461111111111111,0.379888268156425,False
Other,Other,13,Vegetation coverage and type,Vegetation and terrain,Appearance,Qwen3.6-27B,0.688888888888889,0.592419394536057,False
Other,Other,14,Ground surface characteristics,Vegetation and terrain,Appearance,Qwen3.6-27B,0.655555555555556,0.701986754966887,False
Other,Other,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.7,0.712328767123288,False
Other,Other,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.594444444444444,0.602487135506003,False
Other,Other,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.633333333333333,0.655555555555556,False
Other,Other,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.527777777777778,0.223597678916828,False
Other,Other,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,Qwen3.6-27B,0.611111111111111,0.603235747303544,False
Other,Other,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,Qwen3.6-27B,0.605555555555556,0.594331036276167,False
Other,Other,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,Qwen3.6-27B,0.744444444444444,0.792207792207792,False
Other,Other,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,Qwen3.6-27B,0.744444444444444,0.789196310935441,False
Other,Other,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,Qwen3.6-27B,0.477777777777778,0.22978878368536,False
Other,Other,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,Qwen3.6-27B,0.55,0.413998914812805,False
Other,Other,25,Scene functional type,Global scene,Appearance,Qwen3.6-27B,0.727777777777778,0.734244802200469,False
Other,Other,26,Spatial density and openness,Global scene,Appearance,Qwen3.6-27B,0.644444444444444,0.585270075332585,False
Other,Other,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,Qwen3.6-27B,0.816666666666667,0.816775244299674,False
Other,Other,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,Qwen3.6-27B,0.888888888888889,0.873672121734137,False
Other,Other,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,Qwen3.6-27B,0.722222222222222,0.641827912721284,False
Other,Other,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,Qwen3.6-27B,0.561111111111111,0.439159292035398,False
Safety_Security,Safety and Security,1,Building type and scale,Building and structure,Appearance,InternVL3-8B,0.593984962406015,0.372253354310665,True
Safety_Security,Safety and Security,2,Overall building appearance,Building and structure,Appearance,InternVL3-8B,0.601503759398496,0.488276014317927,True
Safety_Security,Safety and Security,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,InternVL3-8B,0.620300751879699,0.405431007262393,True
Safety_Security,Safety and Security,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,InternVL3-8B,0.582706766917293,0.448702570565281,True
Safety_Security,Safety and Security,5,Recognizable building outline,Building and structure,Landmark cue,InternVL3-8B,0.547169811320755,0.378919854267211,True
Safety_Security,Safety and Security,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,InternVL3-8B,0.449056603773585,0.261923659715708,True
Safety_Security,Safety and Security,7,Road type and width,Road and transport,Appearance,InternVL3-8B,0.537593984962406,0.393330886593614,True
Safety_Security,Safety and Security,8,Road markings and boundary features,Road and transport,Appearance,InternVL3-8B,0.458646616541353,0.346023216910833,True
Safety_Security,Safety and Security,9,Road direction and connectivity,Road and transport,Spatial layout,InternVL3-8B,0.552631578947368,0.414949970570924,True
Safety_Security,Safety and Security,10,Road position relative to surrounding elements,Road and transport,Spatial layout,InternVL3-8B,0.616541353383459,0.3976736425609,True
Safety_Security,Safety and Security,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,InternVL3-8B,0.383458646616541,0.215602836879433,True
Safety_Security,Safety and Security,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,InternVL3-8B,0.338345864661654,0.238502435215823,True
Safety_Security,Safety and Security,13,Vegetation coverage and type,Vegetation and terrain,Appearance,InternVL3-8B,0.578947368421053,0.392408846383742,True
Safety_Security,Safety and Security,14,Ground surface characteristics,Vegetation and terrain,Appearance,InternVL3-8B,0.507518796992481,0.352252269324793,True
Safety_Security,Safety and Security,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,InternVL3-8B,0.578947368421053,0.414565826330532,True
Safety_Security,Safety and Security,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,InternVL3-8B,0.447368421052632,0.35831960461285,True
Safety_Security,Safety and Security,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,InternVL3-8B,0.481203007518797,0.349527225301598,True
Safety_Security,Safety and Security,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,InternVL3-8B,0.469924812030075,0.087061854678998,True
Safety_Security,Safety and Security,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,InternVL3-8B,0.518796992481203,0.346801807971511,True
Safety_Security,Safety and Security,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,InternVL3-8B,0.43984962406015,0.296448753362581,True
Safety_Security,Safety and Security,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,InternVL3-8B,0.582706766917293,0.407323688969259,True
Safety_Security,Safety and Security,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,InternVL3-8B,0.522556390977444,0.369410096873277,True
Safety_Security,Safety and Security,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,InternVL3-8B,0.56015037593985,0.181402528380781,True
Safety_Security,Safety and Security,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,InternVL3-8B,0.484962406015038,0.265949282343528,True
Safety_Security,Safety and Security,25,Scene functional type,Global scene,Appearance,InternVL3-8B,0.676691729323308,0.46002296879802,True
Safety_Security,Safety and Security,26,Spatial density and openness,Global scene,Appearance,InternVL3-8B,0.593984962406015,0.439267914045265,True
Safety_Security,Safety and Security,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,InternVL3-8B,0.729323308270677,0.567148652865911,True
Safety_Security,Safety and Security,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,InternVL3-8B,0.774436090225564,0.66857024192711,True
Safety_Security,Safety and Security,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,InternVL3-8B,0.657894736842105,0.484279823482601,True
Safety_Security,Safety and Security,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,InternVL3-8B,0.518796992481203,0.412457356663365,True
Safety_Security,Safety and Security,1,Building type and scale,Building and structure,Appearance,Qwen3.6-27B,0.740601503759398,0.766452044485325,True
Safety_Security,Safety and Security,2,Overall building appearance,Building and structure,Appearance,Qwen3.6-27B,0.778195488721805,0.8145018731451,True
Safety_Security,Safety and Security,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,Qwen3.6-27B,0.755639097744361,0.760459667522035,True
Safety_Security,Safety and Security,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,Qwen3.6-27B,0.755639097744361,0.773662027833002,True
Safety_Security,Safety and Security,5,Recognizable building outline,Building and structure,Landmark cue,Qwen3.6-27B,0.724528301886792,0.739839839027675,True
Safety_Security,Safety and Security,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,Qwen3.6-27B,0.709433962264151,0.691445620929302,True
Safety_Security,Safety and Security,7,Road type and width,Road and transport,Appearance,Qwen3.6-27B,0.642857142857143,0.713926796204248,True
Safety_Security,Safety and Security,8,Road markings and boundary features,Road and transport,Appearance,Qwen3.6-27B,0.657894736842105,0.683954954024176,True
Safety_Security,Safety and Security,9,Road direction and connectivity,Road and transport,Spatial layout,Qwen3.6-27B,0.74812030075188,0.78368907295317,True
Safety_Security,Safety and Security,10,Road position relative to surrounding elements,Road and transport,Spatial layout,Qwen3.6-27B,0.819548872180451,0.82482438534872,True
Safety_Security,Safety and Security,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,Qwen3.6-27B,0.661654135338346,0.627435168286575,True
Safety_Security,Safety and Security,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,Qwen3.6-27B,0.466165413533835,0.411052369978763,True
Safety_Security,Safety and Security,13,Vegetation coverage and type,Vegetation and terrain,Appearance,Qwen3.6-27B,0.699248120300752,0.706936734607399,True
Safety_Security,Safety and Security,14,Ground surface characteristics,Vegetation and terrain,Appearance,Qwen3.6-27B,0.62781954887218,0.661883509406248,True
Safety_Security,Safety and Security,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.729323308270677,0.76969696969697,True
Safety_Security,Safety and Security,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.515037593984962,0.530452397029034,True
Safety_Security,Safety and Security,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.620300751879699,0.674842066146414,True
Safety_Security,Safety and Security,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.507518796992481,0.2419138039576,True
